"date","oxydeep","T_surf","T_bot","T_delta","h_mix","Ptot_lake","Ptot_epi","PO4_lake","PO4_epi","chl","wind_speed","T_air","rhone","T_surf_model","h_mix_model"
1995-05-15,2.40263563768143,11.563280136854,5.612160080432,5.95070006827,10,42.7838175800694,24.1739440642023,35.57867032898,6.352731359642,3.78316,2.18,11.5733333333333,210.303333333333,10.2823633333333,23
1995-06-15,3.09295551390722,14.259070027153,5.62079512323584,8.6371734079134,13.5,38.0197216882645,18.1922118768875,33.1931579773932,8.13938378780753,3.96424175371896,1.98709677419355,13.8516129032258,305.936032258065,14.2342903225806,13
1995-07-16,2.86653350313613,22.1975540190046,5.66964006684514,16.5348265443307,10.5,35.5226012971345,11.9432436955776,32.0971908955804,3.68729369546373,7.93494886568472,2.3258064516129,20.2129032258065,439.677322580645,18.3250967741935,13
1995-08-15,2.30727991779928,20.3351080476385,5.65588916177551,14.6792188820408,12,37.4218316192602,8.49899460968805,33.5665095483382,2.26111244548397,3.43380466472303,2.03,22.0466666666667,405.336933333333,22.2875,13
1995-09-15,2.43420036913718,17.1085310062335,5.650000095,11.4587971716186,14,41.0628793419093,12.0014719353047,34.1062907140919,2.36619903024283,10.2416403049613,2.09677419354839,16.2838709677419,240.887967741935,19.320935483871,18
1995-10-16,2.47677326075282,16.5,5.800000191,10.69999981,19.5,38.80992423,9.388076342,34.84345293,2.442929035,4.9075,1.34838709677419,13.8806451612903,152.245548387097,15.7264838709677,24
1995-11-16,2.56262127321997,11.3442534820841,5.69549087759807,5.64876260447383,19.5,36.8985531473948,9.59791292719199,34.1609652719235,2.58364072477111,5.47736673280423,1.72258064516129,9.44516129032258,129.915612903226,12.9442258064516,31
1995-12-16,3.26423126464773,7.69378772148472,5.64838092654344,2.04540679397241,26.5,43.5934112491157,20.0674863982166,39.9008881172727,16.5217219926264,1.19979485376126,2.06666666666667,2.69666666666667,136.648833333333,9.01582333333333,74
1996-01-16,2.26977678002678,7.06987072902618,5.67010360286968,1.39976712617389,79,43.9919543657369,24.6314265948022,39.9879895320389,18.39174550911,1.01369968861607,1.86451612903226,4.10967741935484,92.791,7.10301290322581,100
1996-02-16,2.26595317949215,6.18548671223601,5.66512994308002,0.520356768998617,177.5,51.5756351111162,36.8395094416741,46.8217654199889,32.0215194086826,1.0216811781949,2.48387096774194,1.39677419354839,131.930161290323,6.31769677419355,155
1996-03-18,2.15483611723031,6.376000118,5.690000057,0.686000061,72,47.04463466,33.70708934,41.31795714,26.65911794,4.88375,2.4,2.19677419354839,110.559548387097,5.90918064516129,198
1996-04-17,2.75237930185002,10.4712330379381,5.70275837571621,4.76538671354589,34,39.8821615431211,28.604555202407,33.0389980280954,14.7412489508062,8.24245130815889,2.27,7.64333333333333,86.9779333333333,7.15512333333333,27
1996-05-18,3.15294821442769,11.9514225511079,5.7297084629621,6.22223888557434,11,38.7175909045773,24.3963450409913,32.4277782652478,10.7952792055948,10.2120116618076,2.03225806451613,13.0258064516129,114.522193548387,11.3114096774194,13
1996-06-18,2.74429298846529,17.1556784579544,5.739999771,11.4153915166399,14,38.9628276544495,20.4882195032342,33.0733207024668,12.1869385804696,2.36252829059829,2.34193548387097,17.7161290322581,257.678290322581,16.3233225806452,13
1996-07-19,2.8021097695624,20.3875052102794,5.74943384116299,14.6418091058139,14,36.7696524041991,13.3451924254263,31.8282382992141,4.22816882337808,9.48799407980531,2.27741935483871,17.3161290322581,217.333064516129,19.0207419354839,13
1996-08-18,2.59499743566338,20.9883306682792,5.739999771,15.2483579925131,13,35.0167286172548,8.49568582258919,31.4956194097317,1.75872561323142,9.62019205729167,2.10666666666667,19.77,242.789766666667,20.806,13
1996-09-18,2.20269969325215,15.67090003727,5.739999771,9.931635280024,17,36.9417365501438,9.1606249561615,32.8236799813475,3.21861143392363,12.10240390625,2.45483870967742,14.7032258064516,154.243322580645,18.0956129032258,23
1996-10-19,2.71298792628046,13.5945892213848,5.75,7.84521604084257,22,35.8041241514431,12.2581540899621,29.4915214729155,2.50540661602041,8.50879718868692,1.72258064516129,11.4064516129032,110.59835483871,13.6961935483871,31
1996-11-19,2.99306653339328,10.685150438771,5.77890304116139,4.90698712061891,34,32.4285581223257,12.5501596189093,28.6742392306857,6.03218666791293,1.42378215005417,2.09032258064516,8.70967741935484,110.11935483871,11.1175806451613,31
